filename,label,manipulation,video_id,split
train\real\776_f000000.jpg,0,real,776,train
train\real\776_f000082.jpg,0,real,776,train
train\real\776_f000164.jpg,0,real,776,train
train\real\776_f000246.jpg,0,real,776,train
train\real\776_f000328.jpg,0,real,776,train
train\real\507_f000000.jpg,0,real,507,train
train\real\507_f000117.jpg,0,real,507,train
train\real\507_f000234.jpg,0,real,507,train
train\real\507_f000351.jpg,0,real,507,train
train\real\507_f000468.jpg,0,real,507,train
train\real\895_f000000.jpg,0,real,895,train
train\real\895_f000073.jpg,0,real,895,train
train\real\895_f000146.jpg,0,real,895,train
train\real\895_f000219.jpg,0,real,895,train
train\real\895_f000292.jpg,0,real,895,train
train\real\922_f000000.jpg,0,real,922,train
train\real\922_f000153.jpg,0,real,922,train
train\real\922_f000306.jpg,0,real,922,train
train\real\922_f000459.jpg,0,real,922,train
train\real\922_f000612.jpg,0,real,922,train
train\real\033_f000000.jpg,0,real,033,train
train\real\033_f000202.jpg,0,real,033,train
train\real\033_f000404.jpg,0,real,033,train
train\real\033_f000606.jpg,0,real,033,train
train\real\033_f000808.jpg,0,real,033,train
train\real\483_f000000.jpg,0,real,483,train
train\real\483_f000093.jpg,0,real,483,train
train\real\483_f000186.jpg,0,real,483,train
train\real\483_f000279.jpg,0,real,483,train
train\real\483_f000372.jpg,0,real,483,train
train\real\085_f000000.jpg,0,real,085,train
train\real\085_f000082.jpg,0,real,085,train
train\real\085_f000164.jpg,0,real,085,train
train\real\085_f000246.jpg,0,real,085,train
train\real\085_f000328.jpg,0,real,085,train
train\real\750_f000000.jpg,0,real,750,train
train\real\750_f000110.jpg,0,real,750,train
train\real\750_f000220.jpg,0,real,750,train
train\real\750_f000330.jpg,0,real,750,train
train\real\750_f000440.jpg,0,real,750,train
train\real\354_f000000.jpg,0,real,354,train
train\real\354_f000114.jpg,0,real,354,train
train\real\354_f000228.jpg,0,real,354,train
train\real\354_f000342.jpg,0,real,354,train
train\real\354_f000456.jpg,0,real,354,train
train\real\523_f000000.jpg,0,real,523,train
train\real\523_f000093.jpg,0,real,523,train
train\real\523_f000186.jpg,0,real,523,train
train\real\523_f000279.jpg,0,real,523,train
train\real\523_f000372.jpg,0,real,523,train
train\real\184_f000000.jpg,0,real,184,train
train\real\184_f000313.jpg,0,real,184,train
train\real\184_f000626.jpg,0,real,184,train
train\real\184_f000939.jpg,0,real,184,train
train\real\184_f001252.jpg,0,real,184,train
train\real\809_f000000.jpg,0,real,809,train
train\real\809_f000091.jpg,0,real,809,train
train\real\809_f000182.jpg,0,real,809,train
train\real\809_f000273.jpg,0,real,809,train
train\real\809_f000364.jpg,0,real,809,train
train\real\418_f000000.jpg,0,real,418,train
train\real\418_f000079.jpg,0,real,418,train
train\real\418_f000158.jpg,0,real,418,train
train\real\418_f000237.jpg,0,real,418,train
train\real\418_f000316.jpg,0,real,418,train
train\real\615_f000000.jpg,0,real,615,train
train\real\615_f000112.jpg,0,real,615,train
train\real\615_f000224.jpg,0,real,615,train
train\real\615_f000336.jpg,0,real,615,train
train\real\615_f000448.jpg,0,real,615,train
train\real\682_f000000.jpg,0,real,682,train
train\real\682_f000241.jpg,0,real,682,train
train\real\682_f000482.jpg,0,real,682,train
train\real\682_f000723.jpg,0,real,682,train
train\real\682_f000964.jpg,0,real,682,train
train\real\501_f000000.jpg,0,real,501,train
train\real\501_f000130.jpg,0,real,501,train
train\real\501_f000260.jpg,0,real,501,train
train\real\501_f000390.jpg,0,real,501,train
train\real\501_f000520.jpg,0,real,501,train
train\real\760_f000000.jpg,0,real,760,train
train\real\760_f000076.jpg,0,real,760,train
train\real\760_f000152.jpg,0,real,760,train
train\real\760_f000228.jpg,0,real,760,train
train\real\760_f000304.jpg,0,real,760,train
train\real\049_f000000.jpg,0,real,049,train
train\real\049_f000089.jpg,0,real,049,train
train\real\049_f000178.jpg,0,real,049,train
train\real\049_f000267.jpg,0,real,049,train
train\real\049_f000356.jpg,0,real,049,train
train\real\732_f000000.jpg,0,real,732,train
train\real\732_f000106.jpg,0,real,732,train
train\real\732_f000212.jpg,0,real,732,train
train\real\732_f000318.jpg,0,real,732,train
train\real\732_f000424.jpg,0,real,732,train
train\real\336_f000000.jpg,0,real,336,train
train\real\336_f000126.jpg,0,real,336,train
train\real\336_f000252.jpg,0,real,336,train
train\real\336_f000378.jpg,0,real,336,train
train\real\336_f000504.jpg,0,real,336,train
train\real\450_f000000.jpg,0,real,450,train
train\real\450_f000193.jpg,0,real,450,train
train\real\450_f000386.jpg,0,real,450,train
train\real\450_f000579.jpg,0,real,450,train
train\real\450_f000772.jpg,0,real,450,train
train\real\790_f000000.jpg,0,real,790,train
train\real\790_f000172.jpg,0,real,790,train
train\real\790_f000344.jpg,0,real,790,train
train\real\790_f000516.jpg,0,real,790,train
train\real\790_f000688.jpg,0,real,790,train
train\real\350_f000000.jpg,0,real,350,train
train\real\350_f000101.jpg,0,real,350,train
train\real\350_f000202.jpg,0,real,350,train
train\real\350_f000303.jpg,0,real,350,train
train\real\350_f000404.jpg,0,real,350,train
train\real\467_f000000.jpg,0,real,467,train
train\real\467_f000105.jpg,0,real,467,train
train\real\467_f000210.jpg,0,real,467,train
train\real\467_f000315.jpg,0,real,467,train
train\real\467_f000420.jpg,0,real,467,train
train\real\622_f000000.jpg,0,real,622,train
train\real\622_f000092.jpg,0,real,622,train
train\real\622_f000184.jpg,0,real,622,train
train\real\622_f000276.jpg,0,real,622,train
train\real\622_f000368.jpg,0,real,622,train
train\real\476_f000000.jpg,0,real,476,train
train\real\476_f000077.jpg,0,real,476,train
train\real\476_f000154.jpg,0,real,476,train
train\real\476_f000231.jpg,0,real,476,train
train\real\476_f000308.jpg,0,real,476,train
train\real\614_f000000.jpg,0,real,614,train
train\real\614_f000126.jpg,0,real,614,train
train\real\614_f000252.jpg,0,real,614,train
train\real\614_f000378.jpg,0,real,614,train
train\real\614_f000504.jpg,0,real,614,train
train\real\554_f000000.jpg,0,real,554,train
train\real\554_f000206.jpg,0,real,554,train
train\real\554_f000412.jpg,0,real,554,train
train\real\554_f000618.jpg,0,real,554,train
train\real\554_f000824.jpg,0,real,554,train
train\real\365_f000000.jpg,0,real,365,train
train\real\365_f000092.jpg,0,real,365,train
train\real\365_f000184.jpg,0,real,365,train
train\real\365_f000276.jpg,0,real,365,train
train\real\365_f000368.jpg,0,real,365,train
train\real\770_f000000.jpg,0,real,770,train
train\real\770_f000163.jpg,0,real,770,train
train\real\770_f000326.jpg,0,real,770,train
train\real\770_f000489.jpg,0,real,770,train
train\real\770_f000652.jpg,0,real,770,train
train\real\630_f000000.jpg,0,real,630,train
train\real\630_f000105.jpg,0,real,630,train
train\real\630_f000210.jpg,0,real,630,train
train\real\630_f000315.jpg,0,real,630,train
train\real\630_f000420.jpg,0,real,630,train
train\real\940_f000000.jpg,0,real,940,train
train\real\940_f000077.jpg,0,real,940,train
train\real\940_f000154.jpg,0,real,940,train
train\real\940_f000231.jpg,0,real,940,train
train\real\940_f000308.jpg,0,real,940,train
train\real\797_f000000.jpg,0,real,797,train
train\real\797_f000108.jpg,0,real,797,train
train\real\797_f000216.jpg,0,real,797,train
train\real\797_f000324.jpg,0,real,797,train
train\real\797_f000432.jpg,0,real,797,train
train\real\496_f000000.jpg,0,real,496,train
train\real\496_f000373.jpg,0,real,496,train
train\real\496_f000746.jpg,0,real,496,train
train\real\496_f001119.jpg,0,real,496,train
train\real\496_f001492.jpg,0,real,496,train
train\real\924_f000000.jpg,0,real,924,train
train\real\924_f000311.jpg,0,real,924,train
train\real\924_f000622.jpg,0,real,924,train
train\real\924_f000933.jpg,0,real,924,train
train\real\924_f001244.jpg,0,real,924,train
train\real\369_f000000.jpg,0,real,369,train
train\real\369_f000079.jpg,0,real,369,train
train\real\369_f000158.jpg,0,real,369,train
train\real\369_f000237.jpg,0,real,369,train
train\real\369_f000316.jpg,0,real,369,train
train\real\596_f000000.jpg,0,real,596,train
train\real\596_f000139.jpg,0,real,596,train
train\real\596_f000278.jpg,0,real,596,train
train\real\596_f000417.jpg,0,real,596,train
train\real\596_f000556.jpg,0,real,596,train
train\real\720_f000000.jpg,0,real,720,train
train\real\720_f000140.jpg,0,real,720,train
train\real\720_f000280.jpg,0,real,720,train
train\real\720_f000420.jpg,0,real,720,train
train\real\720_f000560.jpg,0,real,720,train
train\real\053_f000000.jpg,0,real,053,train
train\real\053_f000104.jpg,0,real,053,train
train\real\053_f000208.jpg,0,real,053,train
train\real\053_f000312.jpg,0,real,053,train
train\real\053_f000416.jpg,0,real,053,train
train\real\426_f000000.jpg,0,real,426,train
train\real\426_f000083.jpg,0,real,426,train
train\real\426_f000166.jpg,0,real,426,train
train\real\426_f000249.jpg,0,real,426,train
train\real\426_f000332.jpg,0,real,426,train
train\real\056_f000000.jpg,0,real,056,train
train\real\056_f000093.jpg,0,real,056,train
train\real\056_f000186.jpg,0,real,056,train
train\real\056_f000279.jpg,0,real,056,train
train\real\056_f000372.jpg,0,real,056,train
train\real\264_f000000.jpg,0,real,264,train
train\real\264_f000113.jpg,0,real,264,train
train\real\264_f000226.jpg,0,real,264,train
train\real\264_f000339.jpg,0,real,264,train
train\real\264_f000452.jpg,0,real,264,train
train\real\772_f000000.jpg,0,real,772,train
train\real\772_f000085.jpg,0,real,772,train
train\real\772_f000170.jpg,0,real,772,train
train\real\772_f000255.jpg,0,real,772,train
train\real\772_f000340.jpg,0,real,772,train
train\real\185_f000000.jpg,0,real,185,train
train\real\185_f000218.jpg,0,real,185,train
train\real\185_f000436.jpg,0,real,185,train
train\real\185_f000654.jpg,0,real,185,train
train\real\185_f000872.jpg,0,real,185,train
train\real\466_f000000.jpg,0,real,466,train
train\real\466_f000083.jpg,0,real,466,train
train\real\466_f000166.jpg,0,real,466,train
train\real\466_f000249.jpg,0,real,466,train
train\real\466_f000332.jpg,0,real,466,train
train\real\789_f000000.jpg,0,real,789,train
train\real\789_f000141.jpg,0,real,789,train
train\real\789_f000282.jpg,0,real,789,train
train\real\789_f000423.jpg,0,real,789,train
train\real\789_f000564.jpg,0,real,789,train
train\real\174_f000000.jpg,0,real,174,train
train\real\174_f000103.jpg,0,real,174,train
train\real\174_f000206.jpg,0,real,174,train
train\real\174_f000309.jpg,0,real,174,train
train\real\174_f000412.jpg,0,real,174,train
train\real\150_f000000.jpg,0,real,150,train
train\real\150_f000113.jpg,0,real,150,train
train\real\150_f000226.jpg,0,real,150,train
train\real\150_f000339.jpg,0,real,150,train
train\real\150_f000452.jpg,0,real,150,train
train\real\741_f000000.jpg,0,real,741,train
train\real\741_f000092.jpg,0,real,741,train
train\real\741_f000184.jpg,0,real,741,train
train\real\741_f000276.jpg,0,real,741,train
train\real\741_f000368.jpg,0,real,741,train
train\real\113_f000000.jpg,0,real,113,train
train\real\113_f000210.jpg,0,real,113,train
train\real\113_f000420.jpg,0,real,113,train
train\real\113_f000630.jpg,0,real,113,train
train\real\113_f000840.jpg,0,real,113,train
train\real\428_f000000.jpg,0,real,428,train
train\real\428_f000134.jpg,0,real,428,train
train\real\428_f000268.jpg,0,real,428,train
train\real\428_f000402.jpg,0,real,428,train
train\real\428_f000536.jpg,0,real,428,train
train\real\965_f000000.jpg,0,real,965,train
train\real\965_f000086.jpg,0,real,965,train
train\real\965_f000172.jpg,0,real,965,train
train\real\965_f000258.jpg,0,real,965,train
train\real\965_f000344.jpg,0,real,965,train
train\real\018_f000000.jpg,0,real,018,train
train\real\018_f000107.jpg,0,real,018,train
train\real\018_f000214.jpg,0,real,018,train
train\real\018_f000321.jpg,0,real,018,train
train\real\018_f000428.jpg,0,real,018,train
train\real\189_f000000.jpg,0,real,189,train
train\real\189_f000127.jpg,0,real,189,train
train\real\189_f000254.jpg,0,real,189,train
train\real\189_f000381.jpg,0,real,189,train
train\real\189_f000508.jpg,0,real,189,train
train\real\414_f000000.jpg,0,real,414,train
train\real\414_f000146.jpg,0,real,414,train
train\real\414_f000292.jpg,0,real,414,train
train\real\414_f000438.jpg,0,real,414,train
train\real\414_f000584.jpg,0,real,414,train
train\real\589_f000000.jpg,0,real,589,train
train\real\589_f000171.jpg,0,real,589,train
train\real\589_f000342.jpg,0,real,589,train
train\real\589_f000513.jpg,0,real,589,train
train\real\589_f000684.jpg,0,real,589,train
train\real\666_f000000.jpg,0,real,666,train
train\real\666_f000095.jpg,0,real,666,train
train\real\666_f000190.jpg,0,real,666,train
train\real\666_f000285.jpg,0,real,666,train
train\real\666_f000380.jpg,0,real,666,train
train\real\763_f000000.jpg,0,real,763,train
train\real\763_f000202.jpg,0,real,763,train
train\real\763_f000404.jpg,0,real,763,train
train\real\763_f000606.jpg,0,real,763,train
train\real\763_f000808.jpg,0,real,763,train
train\real\221_f000000.jpg,0,real,221,train
train\real\221_f000179.jpg,0,real,221,train
train\real\221_f000358.jpg,0,real,221,train
train\real\221_f000537.jpg,0,real,221,train
